BR_CerM,BR_CerMID,BR_Chan,BR_Inst,BR_InstCh,FP_elect,FP_electCNT,FP_ref,FP_shank,FP_shfh_p,FP_shfh_r,FP_shfh_t,FP_shfh_x,FP_shfh_y,FP_shfh_z,FP_shs_r,FP_shs_s,HP_elect,HP_ref,OM_ch,OM_con,OM_pin,OM_ref
5,2,562,5,50,54,950,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,562,-99,18,18,10,-99
5,2,558,5,46,55,951,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,558,-99,14,18,8,-99
5,2,569,5,57,56,952,-99,17,10.5,1.00286083294136,225,-0.129228622712322,-0.129228622712322,0.98606783559327,2,225,569,-99,25,18,32,-99
-99,-99,-99,-99,-99,-99,-99,1,18,-99,-99,-99,-99,-99,-99,2,255,,,,16,,
-99,-99,-99,-99,-99,1,953,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,-99,6,,17,,5
4,3,511,4,95,2,954,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,511,-99,31,16,34,-99
4,3,509,4,93,3,955,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,509,-99,29,16,33,-99
-99,-99,-99,-99,-99,4,956,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,-99,3,,17,,5
5,3,517,5,69,5,957,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,517,-99,5,17,22,-99
5,3,513,5,65,6,958,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,513,-99,1,17,20,-99
5,3,521,5,73,7,959,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,521,-99,9,17,24,-99
5,3,525,5,77,8,960,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,525,-99,13,17,26,-99
4,3,504,4,88,9,961,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,504,-99,24,16,13,-99
4,3,500,4,84,10,962,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,500,-99,20,16,11,-99
4,3,502,4,86,11,963,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,502,-99,22,16,12,-99
4,3,506,4,90,12,964,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,506,-99,26,16,14,-99
5,3,523,5,75,13,965,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,523,-99,11,17,25,-99
5,3,519,5,71,14,966,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,519,-99,7,17,23,-99
5,3,526,5,78,15,967,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,526,-99,14,17,8,-99
5,3,530,5,82,16,968,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,530,-99,18,17,10,-99
5,3,534,5,86,17,969,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,534,-99,22,17,12,-99
4,3,496,4,80,18,970,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,496,-99,16,16,9,-99
4,3,492,4,76,19,971,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,492,-99,12,16,7,-99
4,3,494,4,78,20,972,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,494,-99,14,16,8,-99
4,3,498,4,82,21,973,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,498,-99,18,16,10,-99
5,3,532,5,84,22,974,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,532,-99,20,17,11,-99
5,3,528,5,80,23,975,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,528,-99,16,17,9,-99
5,3,536,5,88,24,976,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,536,-99,24,17,13,-99
5,3,540,5,92,25,977,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,540,-99,28,17,15,-99
5,3,544,5,96,26,978,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,544,-99,0,17,17,-99
4,3,487,4,71,27,979,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,487,-99,7,16,22,-99
4,3,483,4,67,28,980,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,483,-99,3,16,20,-99
-99,-99,-99,-99,-99,29,981,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,-99,4,,17,,5
4,3,510,4,94,30,982,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,510,-99,30,16,16,-99
4,3,512,4,96,31,983,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,512,-99,0,16,17,-99
-99,-99,-99,-99,-99,32,984,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,-99,5,,17,,5
5,3,514,5,66,33,985,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,514,-99,2,17,2,-99
5,3,518,5,70,34,986,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,518,-99,6,17,4,-99
5,3,522,5,74,35,987,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,522,-99,10,17,6,-99
4,3,507,4,91,36,988,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,507,-99,27,16,32,-99
4,3,503,4,87,37,989,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,503,-99,23,16,30,-99
4,3,501,4,85,38,990,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,501,-99,21,16,29,-99
4,3,505,4,89,39,991,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,505,-99,25,16,31,-99
5,3,524,5,76,40,992,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,524,-99,12,17,7,-99
5,3,520,5,72,41,993,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,520,-99,8,17,5,-99
5,3,527,5,79,42,994,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,527,-99,15,17,27,-99
5,3,531,5,83,43,995,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,531,-99,19,17,29,-99
4,3,499,4,83,44,996,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,499,-99,19,16,28,-99
4,3,495,4,79,45,997,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,495,-99,15,16,26,-99
4,3,491,4,75,46,998,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,491,-99,11,16,24,-99
4,3,493,4,77,47,999,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,493,-99,13,16,25,-99
4,3,497,4,81,48,1000,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,497,-99,17,16,27,-99
5,3,533,5,85,49,1001,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,533,-99,21,17,30,-99
5,3,529,5,81,50,1002,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,529,-99,17,17,28,-99
5,3,537,5,89,51,1003,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,537,-99,25,17,32,-99
5,3,541,5,93,52,1004,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,541,-99,29,17,34,-99
4,3,490,4,74,53,1005,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,490,-99,10,16,6,-99
4,3,486,4,70,54,1006,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,486,-99,6,16,4,-99
4,3,482,4,66,55,1007,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,482,-99,2,16,2,-99
4,3,484,4,68,56,1008,-99,18,10.5,1.00286083294136,255,-0.0473009588087846,-0.176529581521107,0.98606783559327,2,255,484,-99,4,16,3,-99
